"1212120", "Nguyễn Văn A", "Công nghệ thông tin", "2012", "20/01/1994", "1212120.jpg", "Dễ thương", "Âm nhạc: Kpop, Vpop", "Điện ảnh: Harry Potter"
"1212121", "Trần Văn B", "Công nghệ thông tin", "2012", "10/04/1994", "1212121.jpg", "Tôi là người rất thân thiện"
"1212122", "Nguyễn Thị C", "Công nghệ thông tin", "2012", "15/04/1994", "1212122.jpg", "Tôi là người rất thân thiện", "Ok, tất ca tốt", "Được ăn ngon"
"1212123", "Ngô Văn D", "Công nghệ thông tin", "2012", "29/02/1994", "1212123.jpg", "Tôi là người khá nóng tính", "Xem phim", "Nghe nhạc", Chơi thể thao"
"1212124", "Trần Thị E", "Công nghệ thông tin", "2012", "31/12/1994", "1212124.jpg", "Không có gì đặc biệt", "Ăn", "Ngủ"
"1212125", "Lý Văn F", "Công nghệ thông tin", "2012", "15/09/1994", "1212125.jpg", "Cởi mở, vui tươi, hòa nhã", "Bơi lội", Tán gẫu"
"1212126", "Lê Thị Ngọc G", "Công nghệ thông tin", "2012", "13/06/1994", "1212126.jpg", "Hòa đồng, vui vẻ", "Ăn vặt", "Xem phim"
"1212127", "Đỗ Phi D", "Công nghệ thông tin", "2012", "21/06/1994", "1212127.jpg", "Tôi là người vui tính", "Học lịch sử", "Chơi game"
"1212128", "Hà Thị AB", "Công nghệ thông tin", "2012", "23/06/1994", "1212128.jpg", "Vui tính, Hài hước", "Xem phim Hàn", "Mua sắm"
"1212129", "Lò Văn S", "Công nghệ thông tin", "2012", "14/03/1994", "1212129.jpg", "Thân thiện, hòa đồng", "Đọc sách"
